City,Date,Avg Temp (Â°C)
New York,2025-06-18,22.87
New York,2025-06-19,24.93125
New York,2025-06-20,24.06
New York,2025-06-21,25.98375
New York,2025-06-22,24.861250000000002
New Delhi,2025-06-18,30.090000000000003
New Delhi,2025-06-19,33.24625
New Delhi,2025-06-20,34.16875
New Delhi,2025-06-21,35.08875
New Delhi,2025-06-22,36.67125
Tokyo,2025-06-18,26.593333333333334
Tokyo,2025-06-19,28.11625
Tokyo,2025-06-20,26.54875
Tokyo,2025-06-21,26.22625
Tokyo,2025-06-22,26.41
Mumbai,2025-06-18,27.173333333333332
Mumbai,2025-06-19,27.68875
Mumbai,2025-06-20,28.53625
Mumbai,2025-06-21,28.5425
Mumbai,2025-06-22,28.2625
